# S/S_b A B C D
0.67 DIV/0! DIV/0! DIV/0! 286.2E-2
0.8 DIV/0! DIV/0! DIV/0! 266.4E-2
0.95 DIV/0! DIV/0! DIV/0! 251.8E-2
0.99 DIV/0! DIV/0! DIV/0! 253.5E-2
1 250.0E-2 251.9E-2 248.1E-2 251.5E-2
1.01 DIV/0! DIV/0! DIV/0! 252.2E-2
1.05 DIV/0! DIV/0! DIV/0! 250.6E-2
1.2 DIV/0! DIV/0! DIV/0! 245.7E-2
1.5 DIV/0! DIV/0! DIV/0! 243.4E-2
