# rota-h | Q_A | Q_T-v | Q_T-O | H_V | H_O | H_R | H_D | H_B | C_d-V |C_d-O
18.0 433 441 720 2.80 16.7 11.0 2.56 -2.84 0.983 0.601
16.0 378 385 629 2.20 12.8 10.6 2.01 -2.22 0.983 0.601
14.0 331 337 552 1.80 9.87 10.4 1.45 -1.80 0.981 0.599
12.0 278 285 465 1.20 7.01 10.5 1.10 -1.21 0.973 0.597
10.0 227 240 385 1.00 4.90 10.6 0.77 -0.74 0.948 0.589
8.0 184 192 315 0.60 3.30 10.2 0.57 -0.52 0.954 0.583

